Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Segment,Country,City,State,Region,Product_ID,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit,Order_Year,Order_Month,Profit_Margin
CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,Consumer,United States,Los Angeles,California,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.18,9.00,0.20,85.31,2014,June,0.05
CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,Consumer,United States,Los Angeles,California,West,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.42,4.00,0.20,68.36,2014,June,0.08
CA-2017-114412,4/15/2017,4/20/2017,Standard Class,AA-10480,Consumer,United States,Concord,North Carolina,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,15.55,3.00,0.20,5.44,2017,April,0.35
CA-2016-161389,12/5/2016,12/10/2016,Standard Class,IM-15070,Consumer,United States,Seattle,Washington,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.98,3.00,0.20,132.59,2016,December,0.33
US-2015-118983,11/22/2015,11/26/2015,Standard Class,HP-14815,Home Office,United States,Fort Worth,Texas,Central,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5.00,0.80,-123.86,2015,November,-1.80
US-2015-118983,11/22/2015,11/26/2015,Standard Class,HP-14815,Home Office,United States,Fort Worth,Texas,Central,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.54,3.00,0.80,-3.82,2015,November,-1.50
CA-2014-105893,11/11/2014,11/18/2014,Standard Class,PK-19075,Consumer,United States,Madison,Wisconsin,Central,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6.00,0.00,13.32,2014,November,0.02
CA-2014-167164,5/13/2014,5/15/2014,Second Class,AG-10270,Consumer,United States,West Jordan,Utah,West,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.50,2.00,0.00,9.99,2014,May,0.18
CA-2014-143336,8/27/2014,9/1/2014,Second Class,ZD-21925,Consumer,United States,San Francisco,California,West,OFF-AR-10003056,Office Supplies,Art,Newell 341,8.56,2.00,0.00,2.48,2014,August,0.29
CA-2014-143336,8/27/2014,9/1/2014,Second Class,ZD-21925,Consumer,United States,San Francisco,California,West,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,213.48,3.00,0.20,16.01,2014,August,0.08
CA-2014-143336,8/27/2014,9/1/2014,Second Class,ZD-21925,Consumer,United States,San Francisco,California,West,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4.00,0.20,7.38,2014,August,0.33
CA-2016-137330,12/9/2016,12/13/2016,Standard Class,KB-16585,Corporate,United States,Fremont,Nebraska,Central,OFF-AR-10000246,Office Supplies,Art,Newell 318,19.46,7.00,0.00,5.06,2016,December,0.26
CA-2016-137330,12/9/2016,12/13/2016,Standard Class,KB-16585,Corporate,United States,Fremont,Nebraska,Central,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7.00,0.00,15.69,2016,December,0.26
US-2017-156909,7/16/2017,7/18/2017,Second Class,SF-20065,Consumer,United States,Philadelphia,Pennsylvania,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.37,2.00,0.30,-1.02,2017,July,-0.01
CA-2015-106320,9/25/2015,9/30/2015,Standard Class,EB-13870,Consumer,United States,Orem,Utah,West,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3.00,0.00,240.26,2015,September,0.23
CA-2016-121755,1/16/2016,1/20/2016,Second Class,EH-13945,Consumer,United States,Los Angeles,California,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.65,2.00,0.20,4.22,2016,January,0.36
CA-2016-121755,1/16/2016,1/20/2016,Second Class,EH-13945,Consumer,United States,Los Angeles,California,West,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3.00,0.00,11.77,2016,January,0.13
US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Consumer,United States,Philadelphia,Pennsylvania,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7.00,0.50,-1665.05,2015,September,-0.54
US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Consumer,United States,Philadelphia,Pennsylvania,East,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.62,2.00,0.70,-7.05,2015,September,-0.73
US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Consumer,United States,Philadelphia,Pennsylvania,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.20,3.00,0.20,15.53,2015,September,0.13
US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Consumer,United States,Philadelphia,Pennsylvania,East,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,3.26,2.00,0.20,1.10,2015,September,0.34
US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Consumer,United States,Philadelphia,Pennsylvania,East,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.30,6.00,0.20,9.71,2015,September,0.11
US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Consumer,United States,Philadelphia,Pennsylvania,East,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.86,6.00,0.70,-5.72,2015,September,-0.83
US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Consumer,United States,Philadelphia,Pennsylvania,East,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,15.76,2.00,0.20,3.55,2015,September,0.23
CA-2017-107727,10/19/2017,10/23/2017,Second Class,MA-17560,Home Office,United States,Houston,Texas,Central,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,29.47,3.00,0.20,9.95,2017,October,0.34
CA-2016-117590,12/8/2016,12/10/2016,First Class,GH-14485,Corporate,United States,Richardson,Texas,Central,TEC-PH-10004977,Technology,Phones,GE 30524EE4,1097.54,7.00,0.20,123.47,2016,December,0.11
CA-2016-117590,12/8/2016,12/10/2016,First Class,GH-14485,Corporate,United States,Richardson,Texas,Central,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5.00,0.60,-147.96,2016,December,-0.78
CA-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,Home Office,United States,Houston,Texas,Central,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.33,9.00,0.20,35.42,2015,December,0.31
CA-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,Home Office,United States,Houston,Texas,Central,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.40,3.00,0.32,-46.98,2015,December,-0.09
CA-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,Home Office,United States,Houston,Texas,Central,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.06,3.00,0.30,-15.15,2015,December,-0.07
CA-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,Home Office,United States,Houston,Texas,Central,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,371.17,4.00,0.20,41.76,2015,December,0.11
CA-2017-120999,9/10/2017,9/15/2017,Standard Class,LC-16930,Corporate,United States,Naperville,Illinois,Central,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,147.17,4.00,0.20,16.56,2017,September,0.11
CA-2016-101343,7/17/2016,7/22/2016,Standard Class,RA-19885,Corporate,United States,Los Angeles,California,West,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2.00,0.00,3.89,2016,July,0.05
CA-2017-139619,9/19/2017,9/23/2017,Standard Class,ES-14080,Corporate,United States,Melbourne,Florida,South,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.62,2.00,0.20,9.56,2017,September,0.10
CA-2016-118255,3/11/2016,3/13/2016,First Class,ON-18715,Corporate,United States,Eagan,Minnesota,Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2.00,0.00,19.77,2016,March,0.43
CA-2016-118255,3/11/2016,3/13/2016,First Class,ON-18715,Corporate,United States,Eagan,Minnesota,Central,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2.00,0.00,8.21,2016,March,0.47
CA-2014-146703,10/20/2014,10/25/2014,Second Class,PO-18865,Consumer,United States,Westland,Michigan,Central,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4.00,0.00,8.48,2014,October,0.04
CA-2016-169194,6/20/2016,6/25/2016,Standard Class,LH-16900,Consumer,United States,Dover,Delaware,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45.00,3.00,0.00,4.95,2016,June,0.11
CA-2016-169194,6/20/2016,6/25/2016,Standard Class,LH-16900,Consumer,United States,Dover,Delaware,East,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.80,2.00,0.00,6.10,2016,June,0.28
CA-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,Consumer,United States,New Albany,Indiana,Central,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6.00,0.00,17.96,2015,April,0.47
CA-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,Consumer,United States,New Albany,Indiana,Central,OFF-LA-10002762,Office Supplies,Labels,Avery 485,75.18,6.00,0.00,35.33,2015,April,0.47
CA-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,Consumer,United States,New Albany,Indiana,Central,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,2.00,0.00,2.96,2015,April,0.48
CA-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,Consumer,United States,New Albany,Indiana,Central,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,1.00,0.00,17.10,2015,April,0.19
CA-2016-105816,12/11/2016,12/17/2016,Standard Class,JM-15265,Corporate,United States,New York City,New York,East,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,15.26,7.00,0.00,6.26,2016,December,0.41
CA-2016-105816,12/11/2016,12/17/2016,Standard Class,JM-15265,Corporate,United States,New York City,New York,East,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,5.00,0.00,298.69,2016,December,0.29
CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Consumer,United States,Troy,New York,East,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,208.56,6.00,0.00,52.14,2016,June,0.25
CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Consumer,United States,Troy,New York,East,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,32.40,5.00,0.00,15.55,2016,June,0.48
CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Consumer,United States,Troy,New York,East,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,319.41,5.00,0.10,7.10,2016,June,0.02
CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Consumer,United States,Troy,New York,East,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,2.00,0.00,6.99,2016,June,0.48
CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Consumer,United States,Troy,New York,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30.00,2.00,0.00,3.30,2016,June,0.11
CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Consumer,United States,Troy,New York,East,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,48.48,4.00,0.20,16.36,2016,June,0.34
CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Consumer,United States,Troy,New York,East,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,1.00,0.00,0.84,2016,June,0.50
CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,Consumer,United States,Los Angeles,California,West,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2.00,0.00,6.15,2015,November,0.44
CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,Consumer,United States,Los Angeles,California,West,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.82,6.00,0.20,9.36,2015,November,0.36
CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,Consumer,United States,Los Angeles,California,West,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,146.73,3.00,0.00,68.96,2015,November,0.47
CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,Consumer,United States,Los Angeles,California,West,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76,4.00,0.00,22.33,2015,November,0.28
US-2015-164175,4/30/2015,5/5/2015,Standard Class,PS-18970,Home Office,United States,Chicago,Illinois,Central,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.12,5.00,0.30,-15.22,2015,April,-0.07
CA-2014-106376,12/5/2014,12/10/2014,Standard Class,BS-11590,Corporate,United States,Gilbert,Arizona,West,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.02,8.00,0.20,111.30,2014,December,0.10
CA-2014-106376,12/5/2014,12/10/2014,Standard Class,BS-11590,Corporate,United States,Gilbert,Arizona,West,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,167.97,4.00,0.20,62.99,2014,December,0.38
CA-2016-119823,6/4/2016,6/6/2016,First Class,KD-16270,Consumer,United States,Springfield,Virginia,South,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2.00,0.00,35.66,2016,June,0.47
CA-2016-106075,9/18/2016,9/23/2016,Standard Class,HM-14980,Consumer,United States,New York City,New York,East,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.62,1.00,0.20,1.73,2016,September,0.38
CA-2017-114440,9/14/2017,9/17/2017,Second Class,TB-21520,Consumer,United States,Jackson,Michigan,Central,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,3.00,0.00,8.76,2017,September,0.46
US-2015-134026,4/26/2015,5/2/2015,Standard Class,JE-15745,Consumer,United States,Memphis,Tennessee,South,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,831.94,8.00,0.20,-114.39,2015,April,-0.14
US-2015-134026,4/26/2015,5/2/2015,Standard Class,JE-15745,Consumer,United States,Memphis,Tennessee,South,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,2.00,0.20,1.21,2015,April,0.01
US-2015-134026,4/26/2015,5/2/2015,Standard Class,JE-15745,Consumer,United States,Memphis,Tennessee,South,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,72.78,1.00,0.20,-18.20,2015,April,-0.25
US-2017-118038,12/9/2017,12/11/2017,First Class,KB-16600,Corporate,United States,Houston,Texas,Central,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,1.25,3.00,0.80,-1.93,2017,December,-1.55
US-2017-118038,12/9/2017,12/11/2017,First Class,KB-16600,Corporate,United States,Houston,Texas,Central,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",9.71,3.00,0.60,-5.82,2017,December,-0.60
US-2017-118038,12/9/2017,12/11/2017,First Class,KB-16600,Corporate,United States,Houston,Texas,Central,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,3.00,0.20,2.72,2017,December,0.10
US-2014-147606,11/26/2014,12/1/2014,Second Class,JE-15745,Consumer,United States,Houston,Texas,Central,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.30,5.00,0.60,-14.48,2014,November,-0.75
CA-2016-127208,6/12/2016,6/15/2016,First Class,SC-20770,Corporate,United States,Decatur,Alabama,South,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1.00,0.00,56.20,2016,June,0.27
CA-2016-127208,6/12/2016,6/15/2016,First Class,SC-20770,Corporate,United States,Decatur,Alabama,South,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74,3.00,0.00,8.04,2016,June,0.48
CA-2014-139451,10/12/2014,10/16/2014,Standard Class,DN-13690,Consumer,United States,San Francisco,California,West,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.90,5.00,0.00,4.17,2014,October,0.28
CA-2014-139451,10/12/2014,10/16/2014,Standard Class,DN-13690,Consumer,United States,San Francisco,California,West,OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,1.00,0.00,6.20,2014,October,0.29
CA-2015-149734,9/3/2015,9/8/2015,Standard Class,JC-16105,Corporate,United States,Durham,North Carolina,South,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.98,7.00,0.20,62.81,2015,September,0.31
US-2017-119662,11/13/2017,11/16/2017,First Class,CS-12400,Home Office,United States,Chicago,Illinois,Central,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,230.38,3.00,0.20,-48.95,2017,November,-0.21
CA-2017-140088,5/28/2017,5/30/2017,Second Class,PO-18865,Consumer,United States,Columbia,South Carolina,South,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,301.96,2.00,0.00,33.22,2017,May,0.11
CA-2017-155558,10/26/2017,11/2/2017,Standard Class,PG-18895,Consumer,United States,Rochester,Minnesota,Central,TEC-AC-10001998,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,1.00,0.00,6.80,2017,October,0.34
CA-2017-155558,10/26/2017,11/2/2017,Standard Class,PG-18895,Consumer,United States,Rochester,Minnesota,Central,OFF-LA-10000134,Office Supplies,Labels,Avery 511,6.16,2.00,0.00,2.96,2017,October,0.48
CA-2016-159695,4/5/2016,4/10/2016,Second Class,GM-14455,Home Office,United States,Houston,Texas,Central,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,158.37,7.00,0.20,13.86,2016,April,0.09
CA-2016-109806,9/17/2016,9/22/2016,Standard Class,JS-15685,Corporate,United States,Los Angeles,California,West,OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.10,3.00,0.00,6.63,2016,September,0.33
CA-2016-109806,9/17/2016,9/22/2016,Standard Class,JS-15685,Corporate,United States,Los Angeles,California,West,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,73.58,2.00,0.20,8.28,2016,September,0.11
CA-2016-109806,9/17/2016,9/22/2016,Standard Class,JS-15685,Corporate,United States,Los Angeles,California,West,OFF-PA-10000304,Office Supplies,Paper,Xerox 1995,6.48,1.00,0.00,3.11,2016,September,0.48
CA-2015-149587,1/31/2015,2/5/2015,Second Class,KB-16315,Consumer,United States,Minneapolis,Minnesota,Central,OFF-PA-10003177,Office Supplies,Paper,Xerox 1999,12.96,2.00,0.00,6.22,2015,January,0.48
CA-2015-149587,1/31/2015,2/5/2015,Second Class,KB-16315,Consumer,United States,Minneapolis,Minnesota,Central,FUR-FU-10003799,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",53.34,3.00,0.00,16.54,2015,January,0.31
CA-2015-149587,1/31/2015,2/5/2015,Second Class,KB-16315,Consumer,United States,Minneapolis,Minnesota,Central,OFF-BI-10002852,Office Supplies,Binders,Ibico Standard Transparent Covers,32.96,2.00,0.00,16.15,2015,January,0.49
US-2017-109484,11/6/2017,11/12/2017,Standard Class,RB-19705,Home Office,United States,Portland,Oregon,West,OFF-BI-10004738,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.68,1.00,0.70,-3.79,2017,November,-0.67
CA-2017-161018,11/9/2017,11/11/2017,Second Class,PN-18775,Home Office,United States,New York City,New York,East,FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,96.53,7.00,0.00,40.54,2017,November,0.42
CA-2017-157833,6/17/2017,6/20/2017,First Class,KD-16345,Consumer,United States,San Francisco,California,West,OFF-BI-10001721,Office Supplies,Binders,Trimflex Flexible Post Binders,51.31,3.00,0.20,17.96,2017,June,0.35
CA-2016-149223,9/6/2016,9/11/2016,Standard Class,ER-13855,Corporate,United States,Saint Paul,Minnesota,Central,OFF-AP-10000358,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88,6.00,0.00,22.59,2016,September,0.29
CA-2016-158568,8/29/2016,9/2/2016,Standard Class,RB-19465,Home Office,United States,Chicago,Illinois,Central,OFF-PA-10003256,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,64.62,7.00,0.20,22.62,2016,August,0.35
CA-2016-158568,8/29/2016,9/2/2016,Standard Class,RB-19465,Home Office,United States,Chicago,Illinois,Central,TEC-AC-10001767,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.98,3.00,0.20,-10.80,2016,August,-0.11
CA-2016-158568,8/29/2016,9/2/2016,Standard Class,RB-19465,Home Office,United States,Chicago,Illinois,Central,OFF-BI-10002609,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,1.79,3.00,0.80,-3.04,2016,August,-1.70
CA-2016-129903,12/1/2016,12/4/2016,Second Class,GZ-14470,Consumer,United States,Rochester,Minnesota,Central,OFF-PA-10004040,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92,4.00,0.00,11.72,2016,December,0.49
US-2015-156867,11/13/2015,11/17/2015,Standard Class,LC-16870,Consumer,United States,Aurora,Colorado,West,TEC-AC-10001552,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,238.90,6.00,0.20,-26.88,2015,November,-0.11
US-2015-156867,11/13/2015,11/17/2015,Standard Class,LC-16870,Consumer,United States,Aurora,Colorado,West,FUR-FU-10004006,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36,3.00,0.20,-3.84,2015,November,-0.04
US-2015-156867,11/13/2015,11/17/2015,Standard Class,LC-16870,Consumer,United States,Aurora,Colorado,West,OFF-BI-10002794,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",36.88,3.00,0.70,-25.82,2015,November,-0.70
CA-2017-119004,11/23/2017,11/28/2017,Standard Class,JM-15250,Consumer,United States,Charlotte,North Carolina,South,TEC-AC-10003499,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,74.11,8.00,0.20,17.60,2017,November,0.24
CA-2017-119004,11/23/2017,11/28/2017,Standard Class,JM-15250,Consumer,United States,Charlotte,North Carolina,South,TEC-PH-10002844,Technology,Phones,Speck Products Candyshell Flip Case,27.99,1.00,0.20,2.10,2017,November,0.08
CA-2017-119004,11/23/2017,11/28/2017,Standard Class,JM-15250,Consumer,United States,Charlotte,North Carolina,South,OFF-AR-10000390,Office Supplies,Art,Newell Chalk Holder,3.30,1.00,0.20,1.07,2017,November,0.33
CA-2015-129476,10/15/2015,10/20/2015,Standard Class,PA-19060,Home Office,United States,Orland Park,Illinois,Central,TEC-AC-10000844,Technology,Accessories,Logitech Gaming G510s - Keyboard,339.96,5.00,0.20,67.99,2015,October,0.20
